ProvinceName,ProvinceID,ProvinceCode,DistrictName,DistrictCode,DistrictID,WardName,Code,WardCode
Bắc Giang,248,,Huyện Yên Thế,1802,1765,Xã Bố Hạ,4,180204
Bắc Giang,248,,Huyện Tân Yên,1806,1762,Thị trấn Cao Thượng,1,180601
Bắc Giang,248,,Huyện Tân Yên,1806,1762,Thị trấn Nhã Nam,2,180602
Bắc Giang,248,,Huyện Tân Yên,1806,1762,Xã Lan Giới,9,180609
Bắc Giang,248,,Huyện Tân Yên,1806,1762,Xã Nhã Nam,16,180616
Bắc Giang,248,,Huyện Tân Yên,1806,1762,Xã Tân Trung,22,180622
Bắc Giang,248,,Huyện Tân Yên,1806,1762,Xã Đại Hóa,6,180606
Bắc Giang,248,,Huyện Tân Yên,1806,1762,Xã Quang Tiến,19,180619
Bắc Giang,248,,Huyện Tân Yên,1806,1762,Xã Phúc Sơn,18,180618
Bắc Giang,248,,Huyện Tân Yên,1806,1762,Xã An Dương,3,180603
Bắc Giang,248,,Huyện Tân Yên,1806,1762,Xã Phúc Hòa,17,180617
Bắc Giang,248,,Huyện Tân Yên,1806,1762,Xã Liên Sơn,11,180611
Bắc Giang,248,,Huyện Tân Yên,1806,1762,Xã Hợp Đức,7,180607
Bắc Giang,248,,Huyện Tân Yên,1806,1762,Xã Lam Cốt,8,180608
Bắc Giang,248,,Huyện Tân Yên,1806,1762,Xã Cao Xá,5,180605
Bắc Giang,248,,Huyện Tân Yên,1806,1762,Xã Cao Thượng,4,180604
Bắc Giang,248,,Huyện Tân Yên,1806,1762,Xã Việt Ngọc,24,180624
Bắc Giang,248,,Huyện Tân Yên,1806,1762,Xã Song Vân,21,180621
